Model_Name,FRECUENCIA,LIMITE_IZQ,LIMITE_DER,PROFUNDIDAD,BALANCED,TEST_AT_SUFFLE,IDX_TEST_START,VAL_PCT,TEST_PCT,ACC_TEST,ACC_VAL,Duration,Exposure,Buy & Hold Return [%],_strategy,Pred_Equity_Final_$,Pred_Equity_Peak_$,Pred_Return_%,Pred_#_Trades,Pred_Win_Rate,Commission,Cash
XGBoost_4,4H,-0.0029,0.0029,6,True,True,8719,0.25,0.2,0.7097017742544356,0.830285627928064,5297.0,98.9805550311497,10.543178973717154,limits_Pred,1108.7693302655873,1359.463227854445,10.876933026558733,286.0,48.251748251748246,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,4781,0.25,0.2,0.7604756511891279,0.7952244219434789,5297.0,96.67736454596941,1.3721735959154044,limits_Pred,922.8859946126655,1040.9432358200588,-7.711400538733437,125.0,55.2,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,9699,0.25,0.2,0.7059267648169121,0.7958289254949373,5297.0,98.35756088351894,8.553977173571594,limits_Pred,1279.249024831054,1349.3344327282553,27.92490248310539,339.0,54.572271386430685,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,12770,0.25,0.2,0.7087580218950548,0.8260541030678555,5297.0,98.99943364168398,18.48528275272172,limits_Pred,897.5293202237615,1129.3396773795453,-10.247067977623852,507.0,48.323471400394475,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,8152,0.25,0.2,0.6564741411853531,0.8392020553120749,5297.0,99.86784972626015,0.03254370695526606,limits_Pred,1003.0597940501759,1400.321302188662,0.3059794050175924,440.0,51.36363636363637,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,5283,0.25,0.2,0.7516043790109476,0.8822729333534834,5297.0,93.90220879743252,3.321483366388494,limits_Pred,1272.2456442926082,1387.001772088157,27.224564429260816,95.0,52.631578947368425,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,4358,0.25,0.2,0.7853907134767837,0.8242405924134805,5297.0,89.06928450066076,12.804076136175713,limits_Pred,887.7964086045721,1029.6353592583282,-11.22035913954279,56.0,58.92857142857143,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,440,0.25,0.2,0.7763306908267271,0.8772857790539521,5297.0,91.10817443836132,14.444868117840135,limits_Pred,1255.770472994777,1257.362197360101,25.5770472994777,160.0,51.87500000000001,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,1446,0.25,0.2,0.8146470366175915,0.8503853710140548,5297.0,98.77289031527279,16.945527836114255,limits_Pred,1488.4854474430786,1491.5697115641187,48.84854474430787,168.0,51.78571428571429,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,9227,0.25,0.2,0.7183842959607399,0.8035363457760314,5297.0,96.45082121955824,9.623195950435301,limits_Pred,1060.4335976115258,1134.2884776377873,6.043359761152579,327.0,50.15290519877675,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,238,0.25,0.2,0.8261608154020385,0.8860510805500982,5297.0,98.58410420993015,7.075797376336228,limits_Pred,1273.1109813105165,1292.1392018781776,27.31109813105163,99.0,51.51515151515152,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,3648,0.25,0.2,0.802567006417516,0.8142662838144175,5297.0,99.86784972626015,14.8306788436764,limits_Pred,1368.0250465295394,1390.5112696325787,36.80250465295394,31.0,64.51612903225806,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,7373,0.25,0.2,0.7053605134012835,0.7693818951186339,5297.0,97.62129507268264,13.26314454239868,limits_Pred,1517.743211555387,1531.9654887991092,51.77432115553872,97.0,52.57731958762887,0.0001,1000
