Gmt time,Open,High,Low,Close,Volume
02.09.2016 00:00:00.000,1.11989,1.12525,1.11505,1.11565,1134954.125
04.09.2016 00:00:00.000,1.11594,1.11595,1.11537,1.11583,35637.4219
05.09.2016 00:00:00.000,1.11583,1.11825,1.11396,1.11506,812866.5625
06.09.2016 00:00:00.000,1.11506,1.12633,1.11411,1.12459,1303637.125
07.09.2016 00:00:00.000,1.12460,1.12716,1.12292,1.12384,1172637.625
08.09.2016 00:00:00.000,1.12384,1.13272,1.12346,1.12686,1248591.25
09.09.2016 00:00:00.000,1.12684,1.12851,1.11988,1.12345,1170455
11.09.2016 00:00:00.000,1.12383,1.12410,1.12301,1.12408,51222.4883
12.09.2016 00:00:00.000,1.12407,1.12686,1.12105,1.12408,1229705.375
13.09.2016 00:00:00.000,1.12408,1.12604,1.12040,1.12194,1303627.375
14.09.2016 00:00:00.000,1.12194,1.12743,1.12138,1.12457,1196941.5
15.09.2016 00:00:00.000,1.12456,1.12844,1.12192,1.12473,1090450.25
16.09.2016 00:00:00.000,1.12474,1.12483,1.11497,1.11592,1128786.25
18.09.2016 00:00:00.000,1.11560,1.11610,1.11530,1.11579,43193.3516
19.09.2016 00:00:00.000,1.11579,1.11979,1.11510,1.11773,1066343
20.09.2016 00:00:00.000,1.11773,1.12136,1.11498,1.11533,1130464.125
21.09.2016 00:00:00.000,1.11533,1.11969,1.11233,1.11894,1304926.625
22.09.2016 00:00:00.000,1.11894,1.12575,1.11850,1.12083,1420108.75
23.09.2016 00:00:00.000,1.12083,1.12407,1.11942,1.12280,1203664
25.09.2016 00:00:00.000,1.12306,1.12415,1.12272,1.12378,39459.9883
26.09.2016 00:00:00.000,1.12378,1.12794,1.12213,1.12502,1244342.375
27.09.2016 00:00:00.000,1.12502,1.12591,1.11912,1.12172,1299129.25
28.09.2016 00:00:00.000,1.12172,1.12371,1.11821,1.12235,1440157.875
29.09.2016 00:00:00.000,1.12235,1.12499,1.11970,1.12191,1354856.125
30.09.2016 00:00:00.000,1.12191,1.12509,1.11535,1.12434,1376355
02.10.2016 00:00:00.000,1.12328,1.12445,1.12282,1.12333,50996.5
03.10.2016 00:00:00.000,1.12333,1.12418,1.12053,1.12095,1123512.875
04.10.2016 00:00:00.000,1.12095,1.12392,1.11381,1.12094,1385112.125
05.10.2016 00:00:00.000,1.12094,1.12335,1.11898,1.12062,1220628.375
06.10.2016 00:00:00.000,1.12062,1.12105,1.11254,1.11423,1214728.875
07.10.2016 00:00:00.000,1.11423,1.12052,1.11046,1.12039,1190526.625
09.10.2016 00:00:00.000,1.11822,1.12039,1.11822,1.11949,40053.9688
10.10.2016 00:00:00.000,1.11949,1.12005,1.11315,1.11409,985192.75
11.10.2016 00:00:00.000,1.11409,1.11409,1.10490,1.10576,1095897.375
12.10.2016 00:00:00.000,1.10577,1.10612,1.10046,1.10106,1126504.5
13.10.2016 00:00:00.000,1.10106,1.10591,1.09856,1.10484,1028662.25
