Local time,Open,High,Low,Close,Volume
18.04.2018 19:00:00.000 GMT-0500,1.23790,1.24002,1.23292,1.23436,239214.125
19.04.2018 19:00:00.000 GMT-0500,1.23436,1.23531,1.22502,1.22903,209627.1406
21.04.2018 19:00:00.000 GMT-0500,1.22772,1.22890,1.22731,1.22742,10349.5498
22.04.2018 19:00:00.000 GMT-0500,1.22742,1.22897,1.21979,1.22097,242994.7031
23.04.2018 19:00:00.000 GMT-0500,1.22098,1.22450,1.21821,1.22377,231988.1719
24.04.2018 19:00:00.000 GMT-0500,1.22377,1.22377,1.21603,1.21708,230325.1563
25.04.2018 19:00:00.000 GMT-0500,1.21709,1.22103,1.20965,1.21085,256269.7656
26.04.2018 19:00:00.000 GMT-0500,1.21085,1.21334,1.20557,1.21332,216210.2813
28.04.2018 19:00:00.000 GMT-0500,1.21250,1.21300,1.21191,1.21229,7056.8799
29.04.2018 19:00:00.000 GMT-0500,1.21230,1.21389,1.20644,1.20819,232659.5156
30.04.2018 19:00:00.000 GMT-0500,1.20821,1.20833,1.19816,1.19914,208184.8125
01.05.2018 19:00:00.000 GMT-0500,1.19913,1.20320,1.19382,1.19510,275388.625
02.05.2018 19:00:00.000 GMT-0500,1.19509,1.20091,1.19481,1.19892,271402.9375
03.05.2018 19:00:00.000 GMT-0500,1.19892,1.19957,1.19109,1.19640,203244.125
05.05.2018 19:00:00.000 GMT-0500,1.19637,1.19661,1.19548,1.19548,6827.6499
06.05.2018 19:00:00.000 GMT-0500,1.19547,1.19782,1.18979,1.19333,199208.4844
07.05.2018 19:00:00.000 GMT-0500,1.19334,1.19390,1.18382,1.18675,241873.7344
08.05.2018 19:00:00.000 GMT-0500,1.18675,1.18972,1.18228,1.18471,240650.9063
09.05.2018 19:00:00.000 GMT-0500,1.18466,1.19467,1.18441,1.19140,272741.4375
10.05.2018 19:00:00.000 GMT-0500,1.19141,1.19681,1.18914,1.19451,215157.0938
12.05.2018 19:00:00.000 GMT-0500,1.19463,1.19560,1.19413,1.19529,9324.9404
13.05.2018 19:00:00.000 GMT-0500,1.19530,1.19962,1.19240,1.19313,247612.2969
