Local time,Open,High,Low,Close,Volume
22.01.2018 18:00:00.000 GMT-0600,1.22566,1.22763,1.22512,1.22579,33181.249599999996
22.01.2018 22:00:00.000 GMT-0600,1.22578,1.22713,1.22387,1.22515,40048.62
23.01.2018 02:00:00.000 GMT-0600,1.22516,1.22578,1.22231,1.22366,54488.29
23.01.2018 06:00:00.000 GMT-0600,1.22368,1.23063,1.22343,1.22934,63852.3105
23.01.2018 10:00:00.000 GMT-0600,1.22932,1.22956,1.22710,1.22955,50420.5098
23.01.2018 14:00:00.000 GMT-0600,1.22955,1.23153,1.22886,1.23092,23239.9899
23.01.2018 18:00:00.000 GMT-0600,1.23091,1.23186,1.22925,1.23147,34923.4497
23.01.2018 22:00:00.000 GMT-0600,1.23149,1.23356,1.23031,1.23125,42920.7997
24.01.2018 02:00:00.000 GMT-0600,1.23124,1.23562,1.23117,1.23402,71410.4414
24.01.2018 06:00:00.000 GMT-0600,1.23404,1.24023,1.23309,1.23810,72653.3887
24.01.2018 10:00:00.000 GMT-0600,1.23810,1.24151,1.23770,1.24047,55592.8496
24.01.2018 14:00:00.000 GMT-0600,1.24048,1.24103,1.23906,1.23929,26192.100099999996
24.01.2018 18:00:00.000 GMT-0600,1.23924,1.24401,1.23849,1.24316,44251.8692
24.01.2018 22:00:00.000 GMT-0600,1.24316,1.24596,1.24091,1.24194,54117.8603
25.01.2018 02:00:00.000 GMT-0600,1.24192,1.24335,1.23895,1.24035,66413.0702
25.01.2018 06:00:00.000 GMT-0600,1.24035,1.25375,1.23975,1.25042,95342.0391
25.01.2018 10:00:00.000 GMT-0600,1.25046,1.25068,1.23643,1.23906,76992.3897
25.01.2018 14:00:00.000 GMT-0600,1.23907,1.24312,1.23709,1.23916,36655.3298
25.01.2018 18:00:00.000 GMT-0600,1.23916,1.24336,1.23865,1.24296,48037.8193
25.01.2018 22:00:00.000 GMT-0600,1.24296,1.24938,1.24130,1.24749,47795.4502
26.01.2018 02:00:00.000 GMT-0600,1.24751,1.24911,1.24306,1.24390,67960.4297
26.01.2018 06:00:00.000 GMT-0600,1.24385,1.24580,1.24131,1.24328,79239.7295
26.01.2018 10:00:00.000 GMT-0600,1.24330,1.24504,1.24074,1.24213,63542.2392
26.01.2018 14:00:00.000 GMT-0600,1.24212,1.24329,1.24066,1.24315,15773.189900000001
28.01.2018 14:00:00.000 GMT-0600,1.24291,1.24316,1.24141,1.24316,9958.650399999999
